"network_code","network_name","park_code","park_name","site_name","station_code","station_name","event_date_UTC","category_code","category_label","detail"
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East NF","EE NF2","EE NF2",2016-05-04,"DIS","Disturbance","This SET is near the edge of the creek and a large hole has opened up from beneath and this SET can no longer be read."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East NF","EE NF1","EE NF1",2016-05-04,"PRO","Procedural","Did not sample MH this area is too murky to hold MH's"
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East NF","EE NF2","EE NF2",2015-05-05,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East NF","EE NF3","EE NF3",2014-10-07,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East NF","EE NF3","EE NF3",2015-05-05,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East NF","EE NF3","EE NF3",2016-05-04,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East NF","EE NF1","EE NF1",2015-05-05,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East NF","EE NF1","EE NF1",2014-10-07,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East NF","EE NF2","EE NF2",2014-10-07,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East","EE3","EE3",2016-10-26,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East","EE3","EE3",2014-10-07,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East","EE2","EE2",2014-10-07,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East","EE3","EE3",2015-05-05,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East","EE1","EE1",2015-05-05,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East","EE1","EE1",2016-10-26,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East","EE2","EE2",2015-05-05,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
