"network_code","network_name","park_code","park_name","site_name","station_code","station_name","event_date_UTC","event_time_UTC","inundation_level_cm","DPL","pin_data_collected","double_read_pin_collected","marker_horizon_data_collected","marker_horizon_data_not_collected_reason","event_notes"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH1 old","Bass Harbor 1 Old",2016-05-25,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH2","Bass Harbor 2",2016-09-14,"04:00:00",0,"Accepted","Yes","No","Yes",NA,"Betty Lyle = helper"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH3","Bass Harbor 3",2014-09-17,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH2","Bass Harbor 2",2016-05-25,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH1 old","Bass Harbor 1 Old",2014-09-17,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH1 old","Bass Harbor 1 Old",2015-06-14,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH1 old","Bass Harbor 1 Old",2016-09-14,"04:00:00",0,"Accepted","Yes","No","Yes",NA,"Betty Lyle = helper"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH2","Bass Harbor 2",2015-06-14,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH2","Bass Harbor 2",2014-09-17,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH2","Bass Harbor 2",2015-09-01,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH1 old","Bass Harbor 1 Old",2015-09-01,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH3","Bass Harbor 3",2015-06-14,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH3","Bass Harbor 3",2016-09-14,"04:00:00",0,"Accepted","Yes","No","Yes",NA,"Betty Lyle = helper"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH3","Bass Harbor 3",2015-09-01,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH3","Bass Harbor 3",2016-05-25,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch3","Schoodic 3",2016-05-25,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch2","Schoodic 2",2016-09-13,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch1","Schoodic 1",2014-09-18,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch3","Schoodic 3",2015-09-02,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch1","Schoodic 1",2015-09-02,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch1","Schoodic 1",2016-05-25,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch3","Schoodic 3",2014-09-18,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch1","Schoodic 1",2015-06-14,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch2","Schoodic 2",2015-06-14,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch2","Schoodic 2",2014-09-18,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch3","Schoodic 3",2016-09-13,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch1","Schoodic 1",2016-09-13,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch2","Schoodic 2",2016-05-25,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch2","Schoodic 2",2015-09-02,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch3","Schoodic 3",2015-06-14,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 3","MCHT 3",2014-09-17,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 3","MCHT 3",2016-05-25,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 3","MCHT 3",2015-06-15,"04:00:00",0,"Accepted","Yes","No","Yes",NA,"RTK Survey - With Neil Winn. Site is wetter than the other two… not draining."
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 2","MCHT 2",2015-09-01,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 1","MCHT 1",2016-05-25,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 2","MCHT 2",2016-05-25,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 1","MCHT 1",2014-09-17,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 1","MCHT 1",2015-09-01,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 1","MCHT 1",2016-09-14,"04:00:00",0,"Accepted","Yes","No","Yes",NA,"helper = Betty Lyle"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 3","MCHT 3",2015-09-01,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 2","MCHT 2",2014-09-17,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 2","MCHT 2",2015-06-15,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 2","MCHT 2",2016-09-14,"04:00:00",0,"Accepted","Yes","No","Yes",NA,"helper = Betty Lyle"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 3","MCHT 3",2016-09-14,"04:00:00",0,"Accepted","Yes","No","Yes",NA,"helper = Betty Lyle"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 1","MCHT 1",2015-06-15,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch1","Schoodic 1",2011-09-21,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch1","Schoodic 1",2013-09-18,"04:00:00",0,"Accepted","Yes","No","Yes",NA,"100% vegetated
mainly Juncus and S. patens"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 1","MCHT 1",2011-09-20,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 2","MCHT 2",2012-05-23,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 2","MCHT 2",2013-05-21,"04:00:00",0,"Accepted","Yes","No","Yes",NA,"Plot B -white partially visible"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch2","Schoodic 2",2013-05-22,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 1","MCHT 1",2012-05-23,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH1 old","Bass Harbor 1 Old",2011-09-20,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch3","Schoodic 3",2012-09-13,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch1","Schoodic 1",2013-05-22,"04:00:00",0,"Accepted","Yes","No","Yes",NA,NA
