"network_code","network_name","park_code","park_name","site_name","station_code","station_name","station_latitude","station_longitude","station_datum","SET_depth_m","SET_date_established","SET_date_retired","station_status","protected_status","station_notes"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch3","Schoodic 3",44.342348,-68.059398,"NAD83",9.45,2011-06-20,NA,"Active","Not Protected","Schoodic SET 3"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch2","Schoodic 2",44.342403,-68.059548,"NAD83",7.32,2011-06-20,NA,"Active","Not Protected","Schoodic SET 2"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch1","Schoodic 1",44.342225,-68.059526,"NAD83",16.16,2011-06-20,NA,"Active","Not Protected","Schoodic SET 1"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH3","Bass Harbor 3",44.257912,-68.342007,"NAD83",21.65,2011-06-20,NA,"Active","Not Protected","Bass Harbor SET 3"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH2","Bass Harbor 2",44.257754,-68.343174,"NAD83",20.58,2011-06-20,NA,"Active","Not Protected","Bass Harbor SET 2"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH1 old","Bass Harbor 1 Old",44.256554,-68.343764,"NAD83",15.55,2011-06-20,NA,"Active","Not Protected","Bass Harbor SET 1 - Original BH SET 1 before it was damaged by ice - Retired"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH1","Bass Harbor 1",44.256554,-68.343764,"NAD83",15.55,2011-06-20,NA,"Active","Not Protected","The original SET (BH1) from 2011 was bent over in the winter of 2016/2017 (Ice flow?).  The SET is no longer measuring the same surface that it used to, so this new SET was created to record the data collected from 2017 onward. Elevation of the receiver (1.457m NAVD88) is from a 2023 survey of the SET after is was bent over in 2017.
"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 3","MCHT 3",44.374597,-68.327497,"NAD83",8.54,2011-06-21,NA,"Active","Not Protected","Babson Creek SET 3"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 2","MCHT 2",44.374646,-68.327835,"NAD83",7.93,2011-06-21,NA,"Active","Not Protected","Babson Creek SET 2"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 1","MCHT 1",44.375066,-68.328044,"NAD83",10.98,2011-06-21,NA,"Active","Not Protected","Babson Creek SET 1 (Maine Coast Heritage Trust)."
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Thompson Island","Thomp 3","Thompson 3",44.42318,-68.365544,"NAD83",1.52,2011-06-21,NA,"Active","Not Protected","Thompson Island SET 3"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Thompson Island","Thomp 2","Thompson 2",44.425522,-68.364162,"NAD83",1.91,2011-06-21,NA,"Active","Not Protected","Thompson Island SET 2"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Thompson Island","Thomp 1","Thompson 1",44.425505,-68.364301,"NAD83",1.83,2011-06-21,NA,"Active","Not Protected","Thompson Island SET 1"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 5 (Pope Bay)","M5-4","M5-4",38.049034,-75.237227,"NAD83",19.51,2009-04-27,NA,"Active","Not Protected","Marsh 5 pipe 4"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 5 (Pope Bay)","M5-3","M5-3",38.049256,-75.238538,"NAD83",21.95,2009-04-27,NA,"Active","Not Protected","Marsh 5 pipe 3"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 5 (Pope Bay)","M5-2","M5-2",38.049193,-75.238766,"NAD83",20.73,2009-04-27,NA,"Active","Not Protected","Marsh 5 pipe 2 (exclosure)"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 5 (Pope Bay)","M5-1","M5-1",38.047689,-75.238225,"NAD83",21.95,2009-04-27,NA,"Active","Not Protected","Marsh 5 pipe 1"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-4","M11-4",38.151444,-75.188264,"NAD83",19.51,2009-04-29,NA,"Active","Not Protected","Marsh 11 pipe 4"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-3","M11-3",38.151382,-75.187522,"NAD83",18.29,2009-04-29,NA,"Active","Not Protected","Marsh 11 pipe 3 Exclosure"
